"";"w";"p"
"85";6;24
"29";7;95
"92";26;22
"59";28;5
"72";45;68
"33";71;55
"1";77;26
"45";85;81
"88";97;13
"34";101;156
"28";104;118
"4";105;204
"94";142;105
"11";144;74
"15";148;237
"48";151;211
"25";152;204
"24";153;172
"100";155;184
"80";159;141
"82";167;97
"55";176;241
"27";216;127
"38";219;279
"60";235;250
"5";245;155
"52";246;250
"89";248;312
"77";262;204
"83";274;176
"8";285;223
"54";288;239
"49";298;347
"37";327;350
"66";354;315
"32";372;366
"43";377;291
"63";377;349
"86";384;435
"68";385;324
"40";401;349
"58";406;457
"79";422;452
"53";437;343
"16";446;459
"18";472;375
"99";472;386
"47";487;411
"31";488;551
"14";491;556
"10";506;508
"62";507;593
"39";520;552
"19";529;469
"17";535;536
"91";539;491
"30";548;515
"61";549;631
"81";605;623
"84";610;706
"67";614;700
"71";617;696
"13";620;705
"65";658;758
"6";672;708
"74";691;674
"76";694;611
"57";702;798
"9";703;687
"22";717;772
"41";717;703
"2";726;664
"51";740;813
"78";749;682
"69";757;815
"26";758;660
"23";767;775
"95";770;710
"12";773;740
"90";791;771
"46";796;759
"64";811;753
"20";812;879
"97";827;800
"98";833;784
"35";839;772
"7";853;839
"87";861;939
"3";865;827
"70";872;885
"96";878;806
"36";898;816
"93";909;968
"44";910;992
"42";913;926
"50";951;895
"56";957;949
"75";963;898
"21";974;1034
"73";978;943
