"";"w";"p"
"1";2;67
"85";2;34
"94";2;39
"82";4;42
"95";4;52
"67";5;84
"79";7;43
"24";8;56
"23";9;30
"20";12;56
"56";12;58
"29";14;16
"44";14;67
"41";15;11
"99";15;94
"46";16;93
"59";16;22
"71";21;98
"89";24;43
"76";27;94
"74";28;56
"37";29;3
"84";30;35
"78";32;92
"98";32;11
"7";34;39
"50";34;79
"69";34;5
"40";37;51
"4";38;41
"22";40;33
"53";42;91
"88";42;13
"39";43;74
"64";43;88
"100";43;19
"58";44;81
"75";46;44
"13";48;86
"68";48;28
"36";50;8
"61";50;60
"6";51;51
"18";53;92
"55";54;57
"81";54;67
"63";55;63
"62";57;56
"16";58;20
"21";58;59
"48";58;12
"5";61;72
"80";61;19
"86";62;16
"19";65;55
"87";67;9
"17";69;47
"34";72;57
"45";74;55
"60";74;36
"93";74;78
"10";75;5
"26";75;24
"25";76;61
"54";76;69
"43";78;50
"3";79;97
"57";80;66
"72";80;82
"42";81;80
"14";82;24
"32";82;51
"52";82;99
"90";82;100
"96";82;1
"11";83;36
"47";83;86
"9";84;87
"15";85;63
"31";85;20
"38";85;11
"65";85;1
"49";86;5
"2";88;41
"12";88;60
"30";88;49
"83";89;92
"35";90;54
"8";91;58
"28";92;92
"33";92;74
"77";92;99
"27";93;96
"51";94;92
"70";94;64
"91";94;50
"73";95;15
"92";95;44
"66";98;68
"97";100;33
